useraddress,loantoken,tokensymbol,block_time,index,paymenttype,newprincipaldecimal
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,0000000000000000000000006b175474e89094c44da98b954eedeac495271d0f,DAI,1599289993,312,borrow,79560.5724373895
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,0000000000000000000000006b175474e89094c44da98b954eedeac495271d0f,DAI,1599291951,66,borrow,47070.6655655322
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,0000000000000000000000006b175474e89094c44da98b954eedeac495271d0f,DAI,1599331907,55,closewithdeposit,47070.6655655322
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,0000000000000000000000006b175474e89094c44da98b954eedeac495271d0f,DAI,1599332624,118,closewithdeposit,79560.5724373895
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1599379642,110,borrow,82558.731716
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,USDT,1599379929,36,borrow,65882.352941
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1599380423,9,borrow,43991.882242
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,USDT,1599380754,184,borrow,26736.318343
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,USDT,1599649690,71,closewithdeposit,26736.318343
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1599650097,138,closewithdeposit,43991.882242
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,USDT,1599650193,140,closewithdeposit,65882.352941
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1599650261,228,closewithdeposit,82558.731716
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1606197565,126,trade,139842.534504
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1606277033,151,closewithswap,139842.534504
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1606373256,82,trade,48577.365071
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1606380793,17,liquidate,19507.721115
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1606385302,191,closewithswap,29069.643956
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1607535153,243,trade,41634.826576
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1607544773,112,trade,96622.314356
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1607687358,15,liquidate,16824.780015
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1608181154,81,closewithswap,12405.02328
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1608330962,88,closewithswap,12405.023281
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1608760767,94,closewithswap,96622.314356
000000000000000000000000002d2715b179d0db3e17cc28317a98f2f65e6884,0000000000000000000000006b175474e89094c44da98b954eedeac495271d0f,DAI,1603401455,176,trade,2834.73128300715
000000000000000000000000002d2715b179d0db3e17cc28317a98f2f65e6884,0000000000000000000000006b175474e89094c44da98b954eedeac495271d0f,DAI,1604363019,223,closewithswap,2834.73128300715
000000000000000000000000002d2715b179d0db3e17cc28317a98f2f65e6884,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,USDT,1604534368,122,trade,3779.64171
000000000000000000000000002d2715b179d0db3e17cc28317a98f2f65e6884,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,USDT,1604593525,77,closewithswap,3779.64171
000000000000000000000000002d2715b179d0db3e17cc28317a98f2f65e6884,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,USDT,1604680930,111,trade,1974.121115
000000000000000000000000002d2715b179d0db3e17cc28317a98f2f65e6884,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,USDT,1605701799,38,closewithswap,1974.121115
000000000000000000000000002d2715b179d0db3e17cc28317a98f2f65e6884,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,USDT,1605702119,243,trade,14740.602671
000000000000000000000000002d2715b179d0db3e17cc28317a98f2f65e6884,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,USDT,1606415167,111,liquidate,7650.565153
000000000000000000000000002d2715b179d0db3e17cc28317a98f2f65e6884,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,USDT,1606832881,133,trade,2467.504236
