useraddress,tokensymbol,newprincipaldecimal,index,loantoken,paymenttype,block_time
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,DAI,79560.5724373895,312,0000000000000000000000006b175474e89094c44da98b954eedeac495271d0f,borrow,1599289993
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,DAI,47070.6655655322,66,0000000000000000000000006b175474e89094c44da98b954eedeac495271d0f,borrow,1599291951
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,DAI,47070.6655655322,55,0000000000000000000000006b175474e89094c44da98b954eedeac495271d0f,closewithdeposit,1599331907
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,DAI,79560.5724373895,118,0000000000000000000000006b175474e89094c44da98b954eedeac495271d0f,closewithdeposit,1599332624
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,USDC,82558.731716,110,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,borrow,1599379642
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,USDT,65882.352941,36,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,borrow,1599379929
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,USDC,43991.882242,9,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,borrow,1599380423
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,USDT,26736.318343,184,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,borrow,1599380754
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,USDT,26736.318343,71,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,closewithdeposit,1599649690
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,USDC,43991.882242,138,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,closewithdeposit,1599650097
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,USDT,65882.352941,140,000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7,closewithdeposit,1599650193
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,USDC,82558.731716,228,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,closewithdeposit,1599650261
0000000000000000000000000022505a56190e01336c48a480422ffb4dbdf3fb,USDC,139842.534504,126,000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,trade,1606197565
